STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,ind_type,Individual type,indic_is,Information society indicator,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:ISOC_EC_IB20(1.0),Internet purchases by individuals (2020 onwards),A,Annual,M_Y16_74,"Males, 16 to 74 years old",I_BF_GT10,Frequency of online purchases in the last 3 months: more than 10 times,PC_IND,Percentage of individuals,DE,Germany,2021,,12.22,,b,break in time series,,
dataflow,ESTAT:ISOC_EC_IB20(1.0),Internet purchases by individuals (2020 onwards),A,Annual,M_Y16_74,"Males, 16 to 74 years old",I_BF_GT10,Frequency of online purchases in the last 3 months: more than 10 times,PC_IND,Percentage of individuals,DE,Germany,2023,,13.33,,,,,
dataflow,ESTAT:ISOC_EC_IB20(1.0),Internet purchases by individuals (2020 onwards),A,Annual,M_Y16_74,"Males, 16 to 74 years old",I_BF_GT10,Frequency of online purchases in the last 3 months: more than 10 times,PC_IND,Percentage of individuals,DE,Germany,2025,,14.22,,,,,
dataflow,ESTAT:ISOC_EC_IB20(1.0),Internet purchases by individuals (2020 onwards),A,Annual,M_Y16_74,"Males, 16 to 74 years old",I_BGT3,Last online purchase: more than 3 months ago,PC_IND,Percentage of individuals,DE,Germany,2021,,24.27,,,,,
dataflow,ESTAT:ISOC_EC_IB20(1.0),Internet purchases by individuals (2020 onwards),A,Annual,M_Y16_74,"Males, 16 to 74 years old",I_BGT3,Last online purchase: more than 3 months ago,PC_IND,Percentage of individuals,DE,Germany,2022,,16.31,,,,,
dataflow,ESTAT:ISOC_EC_IB20(1.0),Internet purchases by individuals (2020 onwards),A,Annual,M_Y16_74,"Males, 16 to 74 years old",I_BGT3,Last online purchase: more than 3 months ago,PC_IND,Percentage of individuals,DE,Germany,2023,,15.80,,,,,
dataflow,ESTAT:ISOC_EC_IB20(1.0),Internet purchases by individuals (2020 onwards),A,Annual,M_Y16_74,"Males, 16 to 74 years old",I_BGT3,Last online purchase: more than 3 months ago,PC_IND,Percentage of individuals,DE,Germany,2024,,17.23,,,,,
dataflow,ESTAT:ISOC_EC_IB20(1.0),Internet purchases by individuals (2020 onwards),A,Annual,M_Y16_74,"Males, 16 to 74 years old",I_BGT3,Last online purchase: more than 3 months ago,PC_IND,Percentage of individuals,DE,Germany,2025,,16.29,,,,,
dataflow,ESTAT:ISOC_EC_IB20(1.0),Internet purchases by individuals (2020 onwards),A,Annual,M_Y16_74,"Males, 16 to 74 years old",I_BLT12,Last online purchase: in the 12 months,PC_IND,Percentage of individuals,DE,Germany,2020,,83.97,,,,,
dataflow,ESTAT:ISOC_EC_IB20(1.0),Internet purchases by individuals (2020 onwards),A,Annual,M_Y16_74,"Males, 16 to 74 years old",I_BLT12,Last online purchase: in the 12 months,PC_IND,Percentage of individuals,DE,Germany,2021,,76.81,,b,break in time series,,
dataflow,ESTAT:ISOC_EC_IB20(1.0),Internet purchases by individuals (2020 onwards),A,Annual,M_Y16_74,"Males, 16 to 74 years old",I_BLT12,Last online purchase: in the 12 months,PC_IND,Percentage of individuals,DE,Germany,2022,,76.42,,,,,
dataflow,ESTAT:ISOC_EC_IB20(1.0),Internet purchases by individuals (2020 onwards),A,Annual,M_Y16_74,"Males, 16 to 74 years old",I_BLT12,Last online purchase: in the 12 months,PC_IND,Percentage of individuals,DE,Germany,2023,,78.27,,,,,
dataflow,ESTAT:ISOC_EC_IB20(1.0),Internet purchases by individuals (2020 onwards),A,Annual,M_Y16_74,"Males, 16 to 74 years old",I_BLT12,Last online purchase: in the 12 months,PC_IND,Percentage of individuals,DE,Germany,2024,,78.30,,,,,
dataflow,ESTAT:ISOC_EC_IB20(1.0),Internet purchases by individuals (2020 onwards),A,Annual,M_Y16_74,"Males, 16 to 74 years old",I_BLT12,Last online purchase: in the 12 months,PC_IND,Percentage of individuals,DE,Germany,2025,,82.09,,,,,
